
At September 30 2013,
(Dollars in millions),Gross Carrying,Accumulated,Net Carrying,
Intangible asset class,Amount,Amortization,Amount,
Capitalized  software,1518,(688),829,
Client  relationships,2348,(1137),1211,
Completed  technology,2886,(1153),1734,
In-process  R&D,17,—,17,
Patents/trademarks,365,(156),209,
Other(a),7,(5),2,
Total,7141,(3139),4003,

At December 31 2012,
(Dollars in millions),Gross Carrying,Accumulated,Net Carrying,
Intangible asset class,Amount,Amortization,Amount,
Capitalized  software,1527,(665),861,
Client  relationships,2103,(961),1142,
Completed  technology,2709,(1112),1597,
In-process  R&D,28,—,28,
Patents/trademarks,281,(127),154,
Other(a),31,(27),3,
Total,6679,(2892),3787,

