Yr. to Yr.,
Percent,
Yr. to Yr.,Change,
(Dollars in millions),Percent,Adjusted For,
For the nine months ended September 30:,2013,2012,Change,Currency,
Global  Services external revenue:,42283,43798,(3.5),%,(0.5),%,
Global  Technology Services,28634,29952,(4.4),%,(1.7),%,
Outsourcing,16407,17445,(5.9),(3.2),
Integrated  Technology Services,6917,7007,(1.3),1.4,
Maintenance,5311,5500,(3.4),(1.1),
Global  Business Services,13649,13846,(1.4),%,2.1,%,
Outsourcing,3089,3130,(1.3),2.8,
Consulting  and Systems Integration,10560,10716,(1.5),1.8,

