

Year Ended December 31,
2014,2015,2016,
Revenues,66001,74989,90272,
Costs and expenses:,
Cost of revenues,25691,28164,35138,
Research and development,9832,12282,13948,
Sales and marketing,8131,9047,10485,
General and administrative,5851,6136,6985,
Total costs and expenses,49505,55629,66556,
Income from operations,16496,19360,23716,
Other income (expense) net,763,291,434,
Income before income taxes,17259,19651,24150,
Provision for income taxes,3639,3303,4672,
Net income from continuing operations,13620,16348,19478,
Net income from discontinued operations,516,0,0,
Net income,14136,16348,19478,
Less: Adjustment Payment to Class C capital stockholders,0,522,0,
Net income available to all stockholders,14136,15826,19478,

Basic net income per share of Class A and B common stock:,
Continuing operations,20.15,23.11,28.32,
Discontinued operations,0.76,0.00,0.00,
Basic net income per share of Class A and B common stock,20.91,23.11,28.32,

Basic net income per share of Class C capital stock:,
Continuing operations,20.15,24.63,28.32,
Discontinued operations,0.76,0.00,0.00,
Basic net income per share of Class C capital stock,20.91,24.63,28.32,

Diluted net income per share of Class A and B common stock:,
Continuing operations,19.82,22.84,27.85,
Discontinued operations,0.75,0.00,0.00,
Diluted net income per share of Class A and B common stock,20.57,22.84,27.85,

Diluted net income per share of Class C capital stock:,
Continuing operations,19.82,24.34,27.85,
Discontinued operations,0.75,0.00,0.00,
Diluted net income per share of Class C capital stock,20.57,24.34,27.85,
