

Year Ended December 31,
2016,
Class A,Class B,Class C,
Basic net income per share:,
Numerator,
Allocation of undistributed earnings,8332,1384,9762,
Denominator,
Number of shares used in per share computation,294217,48859,344702,
Basic net income per share,28.32,28.32,28.32,
Diluted net income per share:,
Numerator,
Allocation of undistributed earnings for basic computation,8332,1384,9762,
Effect of dilutive securities in equity method investments and subsidiaries,(9,),(2,),(10,),
Allocation of undistributed earnings for diluted computation,8323,1382,9752,
Reallocation of undistributed earnings as a result of conversion of Class B to Class A shares,1382,0,0,
Reallocation of undistributed earnings,(94,),(21,),94,
Allocation of undistributed earnings,9611,1361,9846,
Denominator,
Number of shares used in basic computation,294217,48859,344702,
Weighted-average effect of dilutive securities,
Add:,
Conversion of Class B to Class A common shares outstanding,48859,0,0,
Restricted stock units and other contingently issuable shares,2055,0,8873,
Number of shares used in per share computation,345131,48859,353575,
Diluted net income per share,27.85,27.85,27.85,
