

ExhibitNumber,Description,Incorporated by reference herein,
Form,Date,
2.01,Agreement and Plan of Merger dated October 2 2015 by and among Google Inc. the Registrant and Maple Technologies Inc.,Current Report on Form 8-K (File No. 001-37580),October 2 2015,
3.01,Amended and Restated Certificate of Incorporation of the Registrant dated October 2 2015,Current Report on Form 8-K (File No. 001-37580),October 2 2015,
3.02,Amended and Restated Bylaws of the Registrant dated October 2 2015,Current Report on Form 8-K (File No. 001-37580),October 2 2015,
4.01,Specimen Class A Common Stock certificate,Current Report on Form 8-K (File No. 001-37580),October 2 2015,
4.02,Specimen Class C Capital Stock certificate,Current Report on Form 8-K (File No. 001-37580),October 2 2015,
4.03,Alphabet Inc. Deferred Compensation Plan,Current Report on Form 8-K (File No. 001-37580),October 2 2015,
4.04,Transfer Restriction Agreement dated October 2 2015 between the Registrant and Larry Page and certain of his affiliates,Current Report on Form 8-K (File No. 001-37580),October 2 2015,
4.05,Transfer Restriction Agreement dated October 2 2015 between the Registrant and Sergey Brin and certain of his affiliates,Current Report on Form 8-K (File No. 001-37580),October 2 2015,
4.06,Transfer Restriction Agreement dated October 2 2015 between the Registrant and Eric E. Schmidt and certain of its affiliates,Current Report on Form 8-K (File No. 001-37580),October 2 2015,
4.07,Class C Undertaking dated October 2 2015 executed by the Registrant,Current Report on Form 8-K (File No. 001-37580),October 2 2015,
4.08,Indenture dated February 12 2016 between the Registrant and The Bank of New York Mellon Trust Company N.A. as Trustee,Registration Statement on Form S-3 (File No. 333-209510),February 12 2016,
4.09,Registrant Registration Rights Agreement dated December 14 2015,Registration Statement on Form S-3 (File No. 333-209518),February 12 2016,
4.10,First Supplemental Indenture dated April 27 2016 between the Registrant and The Bank of New York Mellon Trust Company N.A. as trustee,Current Report on Form 8-K(File No. 001-37580),April 27 2016,
4.11,Form of the Registrant’s 3.625% Notes due 2021 (included in Exhibit 4.10),
4.12,Form of the Registrant’s 3.375% Notes due 2024 (included in Exhibit 4.10),
4.13,Form of the Registrant’s 1.998% Note due 2026,Current Report on Form 8-K (File No. 001-37580),August 9 2016,
10.01,Form of Indemnification Agreement entered into between the Registrant its affiliates and its directors and officers,Current Report on Form 8-K (File No. 001-37580),October 2 2015,
10.02,u,Letter Agreement dated June 22 2016 between Roger W. Ferguson Jr. and the Registrant,Current Report on Form 8-K (File No. 001-37580),June 29 2016,
10.03,u,Offer Letter dated March 20 2015 between Ruth Porat and Google Inc. as assumed by the Registrant on October 2 2015,Current Report on Form 8-K (File No. 001-36380),March 26 2015,
