ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
66.245.120.dfg,2003-11-01,00:01:42,500.0,774695.0,0001228027-03-000004,-index.htm,200.0,2555.0,1.0,0.0,0.0,1.0,0.0,win
66.245.120.dfg,2003-11-01,00:01:47,500.0,774695.0,0001228027-03-000004,xslF345X02/edgardoc.xml,200.0,15502.0,0.0,0.0,0.0,9.0,0.0,win
24.80.4.efj,2003-11-01,00:01:50,500.0,933136.0,0000891020-98-000348,.txt,200.0,1156287.0,0.0,0.0,0.0,1.0,0.0,win
164.164.89.djf,2003-11-01,00:01:55,500.0,75677.0,0001104659-03-024394,-index.htm,200.0,2504.0,1.0,0.0,0.0,1.0,0.0,win
164.164.89.djf,2003-11-01,00:02:00,500.0,75677.0,0001104659-03-024374,-index.htm,200.0,2504.0,1.0,0.0,0.0,1.0,0.0,win
164.164.89.djf,2003-11-01,00:02:06,500.0,75677.0,0001104659-03-024374,xslF345X02/a4.xml,200.0,36263.0,0.0,0.0,0.0,9.0,0.0,win
162.116.29.ecg,2003-11-01,00:02:20,500.0,1131907.0,0001209191-03-027564,xslF345X02/doc3.xml,200.0,17537.0,0.0,1.0,0.0,0.0,0.0,
68.84.207.fhi,2003-11-01,00:02:23,500.0,318154.0,0001047469-03-032812,-index.htm,200.0,2500.0,1.0,0.0,0.0,4.0,0.0,lin
68.84.207.fhi,2003-11-01,00:02:32,500.0,318154.0,0001193125-03-069500,-index.htm,200.0,2722.0,1.0,0.0,0.0,4.0,0.0,lin
68.84.207.fhi,2003-11-01,00:02:40,500.0,318154.0,0001193125-03-069500,d10q.htm,200.0,560339.0,0.0,0.0,0.0,9.0,0.0,lin
68.99.149.gae,2003-11-01,00:07:17,500.0,1059155.0,0001168404-03-000311,-index.htm,200.0,3107.0,1.0,0.0,0.0,2.0,0.0,mie
68.99.149.gae,2003-11-01,00:07:24,500.0,1059155.0,0001168404-03-000311,xslF345X02/edgar.xml,200.0,15322.0,0.0,0.0,0.0,9.0,0.0,mie
206.81.102.gbi,2003-11-01,00:07:39,500.0,32689.0,0001047469-03-034950,a2121599z424b5.htm,200.0,81345.0,0.0,1.0,0.0,0.0,0.0,
216.121.191.eag,2003-11-01,00:09:01,500.0,357020.0,0001193125-03-069336,.txt,206.0,1159896.0,0.0,1.0,0.0,0.0,1.0,
207.162.229.jcf,2003-11-01,00:09:37,500.0,101829.0,0000101829-03-000315,-index.htm,304.0,,1.0,0.0,0.0,1.0,0.0,win
24.80.4.efj,2003-11-01,00:09:45,500.0,50341.0,0000949377-00-000079,-index.html,304.0,,1.0,0.0,0.0,1.0,0.0,win
206.81.102.gbi,2003-11-01,00:09:51,500.0,810695.0,0001056288-03-000635,-index.htm,302.0,287.0,1.0,1.0,0.0,0.0,0.0,
64.12.96.dcg,2003-11-01,00:09:59,500.0,51143.0,0001047469-03-008194,a2102367z10-k.htm,304.0,,0.0,0.0,0.0,10.0,0.0,mie
206.81.102.gbi,2003-11-01,00:10:01,500.0,896670.0,0000891804-03-002375,-index.htm,302.0,287.0,1.0,1.0,0.0,0.0,0.0,
68.85.87.gfa,2003-11-01,00:10:03,500.0,895812.0,0000950168-03-001331,-index.htm,200.0,4031.0,1.0,0.0,0.0,1.0,0.0,win
68.85.87.gfa,2003-11-01,00:10:11,500.0,895812.0,0000950168-03-001331,d10k.htm,200.0,1365314.0,0.0,0.0,0.0,9.0,0.0,win
24.80.4.efj,2003-11-01,00:10:14,500.0,50341.0,0000950135-01-500113,-index.htm,200.0,4030.0,1.0,0.0,0.0,1.0,0.0,win
24.80.4.efj,2003-11-01,00:10:21,500.0,50341.0,0000950135-01-500113,b38099ffe10-k.txt,200.0,443354.0,0.0,0.0,0.0,9.0,0.0,win
24.80.4.efj,2003-11-01,00:10:37,500.0,50341.0,0000949377-00-000079,-index.html,304.0,,1.0,0.0,0.0,1.0,0.0,win
164.164.89.djf,2003-11-01,00:16:16,500.0,1076673.0,0000902664-03-001630,-index.htm,200.0,2680.0,1.0,0.0,0.0,2.0,0.0,win
164.164.89.djf,2003-11-01,00:16:17,500.0,1076673.0,0000902664-03-001630,xslF345X02/srz-belica03_ex.xml,200.0,15851.0,0.0,0.0,0.0,9.0,0.0,win
206.81.102.gbi,2003-11-01,00:16:36,500.0,897182.0,0000891804-03-002413,file001.txt,200.0,1087.0,0.0,1.0,0.0,0.0,0.0,
12.234.13.ecg,2003-11-01,00:21:29,500.0,1187405.0,0000835541-03-000050,-index.htm,200.0,2463.0,1.0,0.0,0.0,4.0,0.0,mie
12.234.13.ecg,2003-11-01,00:21:38,500.0,1187405.0,0000835541-03-000050,xslF345X02/edgar.xml,200.0,15564.0,0.0,0.0,0.0,9.0,0.0,mie
61.115.76.jbf,2003-11-01,00:26:30,500.0,19520.0,0000019520-03-000028,.txt,200.0,6419.0,0.0,1.0,0.0,0.0,0.0,
66.215.197.fhi,2003-11-01,00:27:10,500.0,1045280.0,0001209191-03-027788,-index.htm,200.0,3236.0,1.0,0.0,0.0,1.0,0.0,mie
66.215.197.fhi,2003-11-01,00:27:20,500.0,1045280.0,0001209191-03-027788,xslF345X02/doc4.xml,200.0,22413.0,0.0,0.0,0.0,9.0,0.0,mie
205.174.8.ech,2003-11-01,00:27:28,500.0,826644.0,0000950129-01-000046,.txt,200.0,2717.0,0.0,0.0,0.0,1.0,0.0,win
164.164.89.djf,2003-11-01,00:28:43,500.0,230498.0,0000950144-03-001686,-index.htm,200.0,2007.0,1.0,0.0,0.0,1.0,0.0,win
164.164.89.djf,2003-11-01,00:28:51,500.0,311657.0,0000311657-03-000032,-index.htm,200.0,2808.0,1.0,0.0,0.0,1.0,0.0,win
63.175.135.ddh,2003-11-01,00:28:53,500.0,38079.0,0000038079-03-000027,xslF345X02/edgardoc.xml,200.0,15546.0,0.0,1.0,0.0,0.0,0.0,
164.164.89.djf,2003-11-01,00:28:56,500.0,311657.0,0000311657-03-000032,xslF345X02/edgar.xml,200.0,17202.0,0.0,0.0,0.0,9.0,0.0,win
202.56.197.bic,2003-11-01,00:29:00,500.0,906465.0,0000743530-03-000048,.txt,200.0,110804.0,0.0,0.0,0.0,1.0,0.0,win
164.164.89.djf,2003-11-01,00:29:04,500.0,230498.0,0000950144-03-001686,g80687e10vq.htm,200.0,315028.0,0.0,0.0,0.0,9.0,0.0,win
209.42.67.cjb,2003-11-01,00:29:33,500.0,783325.0,0000107815-03-000080,-index.htm,200.0,2446.0,1.0,0.0,0.0,1.0,0.0,mie
12.206.193.dif,2003-11-01,00:29:34,500.0,890801.0,0000950134-03-014269,-index.htm,304.0,,1.0,1.0,0.0,0.0,0.0,win
24.81.182.bcf,2003-11-01,00:29:35,500.0,1094816.0,0001114601-03-000001,-index.htm,200.0,2947.0,1.0,0.0,0.0,1.0,0.0,win
12.206.193.dif,2003-11-01,00:29:37,500.0,890801.0,0000950134-03-014269,d10015e10vq.htm,304.0,,0.0,1.0,0.0,0.0,0.0,win
209.42.67.cjb,2003-11-01,00:29:37,500.0,783325.0,0000107815-03-000080,exhibit99dated102303.htm,200.0,43674.0,0.0,0.0,0.0,9.0,0.0,mie
203.196.189.bgd,2003-11-01,00:29:38,500.0,40533.0,0000950133-98-003992,.txt,200.0,155098.0,0.0,0.0,0.0,1.0,0.0,win
24.81.182.bcf,2003-11-01,00:29:39,500.0,1094816.0,0001114601-03-000001,xslF345X02/primary_doc.xml,200.0,21425.0,0.0,0.0,0.0,9.0,0.0,win
164.164.89.djf,2003-11-01,00:29:47,500.0,1261166.0,0001261166-03-000047,-index.htm,200.0,2767.0,1.0,0.0,0.0,4.0,0.0,win
164.164.89.djf,2003-11-01,00:29:49,500.0,1261166.0,0001261166-03-000047,xslF345X02/rya26.xml,200.0,12240.0,0.0,0.0,0.0,9.0,0.0,win
203.196.189.bgd,2003-11-01,00:29:49,500.0,1045597.0,0000950136-03-000336,.txt,200.0,16844.0,0.0,1.0,0.0,0.0,0.0,
216.121.191.eag,2003-11-01,00:29:49,500.0,315449.0,0000315449-03-000009,.txt,206.0,397909.0,0.0,1.0,0.0,0.0,1.0,
202.92.126.hjf,2003-11-01,00:29:58,500.0,1071739.0,0000950135-02-004061,-index.htm,200.0,1956.0,1.0,0.0,0.0,1.0,0.0,win
202.92.126.hjf,2003-11-01,00:30:03,500.0,1071739.0,0000950135-02-004061,b44125cce8va12gza.txt,200.0,21786.0,0.0,0.0,0.0,9.0,0.0,win
193.128.163.jdd,2003-11-01,00:30:17,500.0,772197.0,0001116502-01-501248,-index.htm,200.0,3094.0,1.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:18,500.0,772197.0,0000950144-01-505900,-index.htm,200.0,2743.0,1.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:18,500.0,772197.0,0000950144-01-505033,-index.htm,200.0,3048.0,1.0,1.0,0.0,0.0,0.0,
216.184.41.fhg,2003-11-01,00:30:19,500.0,318996.0,0001179110-03-009718,xslF345X02/edgar.xml,200.0,15893.0,0.0,0.0,0.0,10.0,0.0,mie
203.196.189.bgd,2003-11-01,00:30:23,500.0,1050122.0,0001047469-03-005524,.txt,200.0,197241.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:29,500.0,772197.0,0000950144-01-504996,.txt,200.0,466034.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:30,500.0,772197.0,0001209191-03-006200,bmi83128_bmi03pf.xml,200.0,10768.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:30,500.0,772197.0,0001209191-03-005589,bmi83128_bmi01pf.xml,200.0,11777.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:30,500.0,772197.0,0001209191-03-008438,bmi83490_bmi01jf.xml,200.0,3363.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:31,500.0,772197.0,0000766524-01-500143,.txt,200.0,16562.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:31,500.0,772197.0,0001209191-03-005009,bmi82744_bmi05ajf.xml,200.0,3740.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:32,500.0,772197.0,0000950170-00-000129,.txt,200.0,135687.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:30:32,500.0,1051425.0,0000950130-03-001207,.txt,200.0,33792.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:34,500.0,772197.0,0000046618-95-000043,.txt,200.0,10340.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:30:37,500.0,1054102.0,0001169232-03-001368,.txt,200.0,30636.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:38,500.0,772197.0,0000950144-03-004632,g81852e4.htm,200.0,58120.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:41,500.0,772197.0,0000950144-03-003064,g81206pfe4.htm,200.0,59441.0,0.0,1.0,0.0,0.0,0.0,
203.177.37.cha,2003-11-01,00:30:41,500.0,764478.0,0001104659-03-011338,j1536_10k.htm,200.0,1448701.0,0.0,0.0,0.0,9.0,0.0,mie
203.196.189.bgd,2003-11-01,00:30:42,500.0,1056294.0,0001012870-03-000719,.txt,200.0,18654.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:44,500.0,772197.0,0000950144-02-012113,g79486e4.htm,200.0,43215.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:30:47,500.0,1056673.0,0001035704-03-000116,.txt,200.0,12045.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:48,500.0,772197.0,0000950144-02-010265,g78627e4.htm,200.0,53772.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:30:49,500.0,106374.0,0000950144-03-001885,.txt,200.0,37037.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:51,500.0,772197.0,9999999997-02-037761,.paper,200.0,291.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:52,500.0,772197.0,0000950144-02-006039,g76570e424b2.txt,200.0,7779.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:52,500.0,772197.0,0000950144-02-006184,g75920rdefr14a.txt,304.0,,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:53,500.0,772197.0,0000950144-02-006038,g76571ex10-33.txt,200.0,52423.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:54,500.0,772197.0,0000950144-02-005806,g76489ex5-1.txt,200.0,2693.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:54,500.0,772197.0,0000950170-00-001956,-index.htm,200.0,3661.0,1.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:55,500.0,772197.0,0000950144-02-005806,g76489ex10-32.txt,200.0,52520.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:56,500.0,772197.0,0000950144-02-004587,g75920def14a.txt,200.0,74288.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:57,500.0,772197.0,0001116502-02-000267,ivax-424b2.txt,200.0,7663.0,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:57,500.0,772197.0,0001116502-02-000266,ivax-8k.txt,304.0,,0.0,1.0,0.0,0.0,0.0,
193.128.163.jdd,2003-11-01,00:30:57,500.0,772197.0,0000950144-02-002830,g74927ex23-1.txt,200.0,1108.0,0.0,1.0,0.0,0.0,0.0,
203.196.189.bgd,2003-11-01,00:30:57,500.0,1065645.0,0001065645-03-000003,.txt,200.0,64624.0,0.0,1.0,0.0,0.0,0.0,
