At September 30,At December 31,
(Dollars in millions),2013,2012,
Current:,
Net  investment in sales-type and direct financing leases,4078,3862,
Commercial  financing receivables,6278,7750,
Client  loan receivables,5218,5395,
Installment  payment receivables,1212,1031,
Total,16786,18038,
Noncurrent:,
Net  investment in sales-type and direct financing leases,5454,6107,
Commercial  financing receivables,—,5,
Client  loan receivables,5555,5966,
Installment  payment receivables,666,733,
Total,11675,12812,
