Yr. to Yr.,
Percent,
Yr. to Yr.,Change,
(Dollars in millions),Percent,Adjusted For,
For the three months ended September 30:,2013,2012,Change,Currency,
Total  Revenue,23720,24747,(4.1),%,(1.6),%,
Geographies:,23186,24209,(4.2),%,(1.7),%,
Americas,10305,10448,(1.4),(0.2),
Europe/Middle  East/Africa (EMEA),7334,7238,1.3,(1.6),
Asia  Pacific,5547,6523,(15.0),(4.2),

Major  markets,(2.7),%,(0.6),%,
Growth  markets,(8.8),%,(5.1),%,
BRIC  countries,(14.8),%,(11.9),%,
Yr. to Yr.,
Percent,
Yr. to Yr.,Change,
(Dollars in millions),Percent,Adjusted For,
For the nine months ended September 30:,2013,2012,Change,Currency,
Total  Revenue,72052,75203,(4.2),%,(2.1),%,
Geographies:,70553,73644,(4.2),%,(2.0),%,
Americas,31056,32006,(3.0),(2.1),
Europe/Middle  East/Africa (EMEA),22451,22684,(1.0),(2.2),
Asia  Pacific,17046,18953,(10.1),(1.7),

Major  markets,(4.5),%,(2.4),%,
Growth  markets,(3.1),%,(0.9),%,
BRIC  countries,(5.6),%,(3.2),%,

