(Dollars in millions),
For the nine months ended September 30:,2013,2012,
Net  cash from operating activities per GAAP:,10957,13240,
Less:  the change in Global Financing receivables,1628,1245,
Net  cash from operating activities excluding Global Financing receivables,9329,11995,
Capital expenditures net,(2709),(3326),
Free  cash flow,6620,8670,
Acquisitions,(2562),(2266),
Divestitures,247,587,
Share repurchase,(8062),(8988),
Dividends,(3033),(2816),
Non-Global Financing debt,1556,2284,
Other (includes Global Financing receivables and Global Financing debt),4337,2861,
Change  in cash cash equivalents and short-term marketable securities,(897),331,
